TAMANIO, DIRECCIONSUCURSAL, CIUDAD, NOMBRESUCURSAL
453,CLL 1 #1-1,Medellín,Sucursal 1
798,CLL 2 #2-2,Cali,Sucursal 2
886,CLL 3 #3-3,Barranquilla,Sucursal 3
625,CLL 4 #4-4,Cartagena,Sucursal 4
431,CLL 5 #5-5,Cúcuta,Sucursal 5
278,CLL 6 #6-6,Ibagué,Sucursal 6
197,CLL 7 #7-7,Soacha,Sucursal 7
181,CLL 8 #8-8,Bucaramanga,Sucursal 8
659,CLL 9 #9-9,Villavicencio,Sucursal 9
949,CLL 10 #10-10,Santa Marta,Sucursal 10
295,CLL 11 #11-11,Valledupar,Sucursal 11
634,CLL 12 #12-12,Bello,Sucursal 12
490,CLL 13 #13-13,Pereira,Sucursal 13
93,CLL 14 #14-14,Montería,Sucursal 14
381,CLL 15 #15-15,Pasto,Sucursal 15
243,CLL 16 #16-16,Buenaventura,Sucursal 16
22,CLL 17 #17-17,Manizales,Sucursal 17
61,CLL 18 #18-18,Neiva,Sucursal 18
652,CLL 19 #19-19,Palmira,Sucursal 19
249,CLL 20 #20-20,Armenia,Sucursal 20
956,CLL 21 #21-21,Riohacha,Sucursal 21
730,CLL 22 #22-22,Sincelejo,Sucursal 22
337,CLL 23 #23-23,Popayán,Sucursal 23
75,CLL 24 #24-24,Itagüí,Sucursal 24
435,CLL 25 #25-25,Floridablanca,Sucursal 25
967,CLL 26 #26-26,Envigado,Sucursal 26
758,CLL 27 #27-27,Tuluá,Sucursal 27
732,CLL 28 #28-28,Tumaco,Sucursal 28
866,CLL 29 #29-29,Dosquebradas,Sucursal 29
653,CLL 30 #30-30,Bogotá,Sucursal 30
184,CLL 31 #31-31,Medellín,Sucursal 31
526,CLL 32 #32-32,Cali,Sucursal 32
382,CLL 33 #33-33,Barranquilla,Sucursal 33
70,CLL 34 #34-34,Cartagena,Sucursal 34
204,CLL 35 #35-35,Cúcuta,Sucursal 35
114,CLL 36 #36-36,Ibagué,Sucursal 36
731,CLL 37 #37-37,Soacha,Sucursal 37
670,CLL 38 #38-38,Bucaramanga,Sucursal 38
243,CLL 39 #39-39,Villavicencio,Sucursal 39
305,CLL 40 #40-40,Santa Marta,Sucursal 40
598,CLL 41 #41-41,Valledupar,Sucursal 41
128,CLL 42 #42-42,Bello,Sucursal 42
961,CLL 43 #43-43,Pereira,Sucursal 43
527,CLL 44 #44-44,Montería,Sucursal 44
535,CLL 45 #45-45,Pasto,Sucursal 45
671,CLL 46 #46-46,Buenaventura,Sucursal 46
198,CLL 47 #47-47,Manizales,Sucursal 47
35,CLL 48 #48-48,Neiva,Sucursal 48
801,CLL 49 #49-49,Palmira,Sucursal 49
72,CLL 50 #50-50,Armenia,Sucursal 50
960,CLL 51 #51-51,Riohacha,Sucursal 51
157,CLL 52 #52-52,Sincelejo,Sucursal 52
135,CLL 53 #53-53,Popayán,Sucursal 53
29,CLL 54 #54-54,Itagüí,Sucursal 54
825,CLL 55 #55-55,Floridablanca,Sucursal 55
233,CLL 56 #56-56,Envigado,Sucursal 56
846,CLL 57 #57-57,Tuluá,Sucursal 57
29,CLL 58 #58-58,Tumaco,Sucursal 58
